Id,Model,Price,Age_08_04,KM,HP,CC,Doors,Cylinders,Quarterly_Tax,Weight,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Parking_Assistant,Tow_Bar
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,43905,110,1600,3,4,100,1170,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,56349,110,1600,3,4,85,1120,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
24,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,32220,110,1600,3,4,85,1120,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,25813,110,1600,3,4,85,1120,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,28450,110,1600,3,4,85,1120,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
27,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,34545,110,1600,3,4,85,1120,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,110,1600,3,4,85,1120,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,44142,110,1600,3,4,85,1120,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,11090,110,1600,3,4,85,1120,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
31,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,9750,97,1400,3,4,19,1100,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,29510,97,1400,3,4,85,1100,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
34,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,32692,97,1400,3,4,85,1100,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
35,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,41000,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,43000,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,25000,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10000,97,1400,3,4,85,1100,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,25329,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
40,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,27500,97,1400,3,4,85,1100,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
41,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,49059,97,1400,3,4,85,1100,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,44068,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,46961,97,1400,3,4,85,1100,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,110404,90,2000,5,4,234,1255,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,100250,90,2000,5,4,234,1255,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
46,TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,84000,90,2000,5,4,234,1270,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,79375,90,2000,5,4,234,1255,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,75048,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
49,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,72215,90,2000,5,4,234,1255,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,64982,192,1800,5,4,100,1195,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,62636,90,2000,5,4,234,1255,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
52,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,57086,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,56000,110,1600,5,4,100,1180,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,49866,192,1800,5,4,100,1195,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
55,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,49163,110,1600,5,4,100,1165,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
56,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,45725,110,1600,5,4,85,1075,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,43210,97,1400,5,4,85,1110,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,97,1400,5,4,85,1110,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
59,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,39704,110,1600,5,4,100,1180,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
60,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,38950,110,1600,5,4,85,1130,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,37400,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
62,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,37177,110,1600,5,4,85,1130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,36544,110,1600,5,4,85,1130,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,33511,110,1600,5,4,85,1130,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,32809,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,32181,110,1600,5,4,19,1075,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,30993,110,1600,5,4,85,1130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,30400,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,30000,110,2000,5,4,234,1275,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,29719,97,1400,5,4,85,1110,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0
71,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,29206,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,29198,97,1400,5,4,85,1060,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0
73,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,110,1598,5,4,85,1130,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0
74,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,28227,97,1400,5,4,85,1110,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
75,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,28000,110,1600,5,4,85,1130,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,28000,110,1600,5,4,85,1115,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,25266,110,1600,5,4,85,1130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,23489,110,1600,5,4,85,1115,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,22575,110,1600,5,4,85,1115,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,22000,97,1400,5,4,85,1110,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,20019,110,16000,5,4,100,1180,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,20000,110,1600,5,4,85,1115,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
83,TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,17003,97,1400,5,4,85,1110,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,16238,110,1600,5,4,100,1180,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
85,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,15414,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,8537,110,1600,5,4,85,1130,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
87,TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,7000,97,1400,5,4,85,1100,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,66966,90,2000,3,4,210,1245,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,51884,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,50005,110,2000,3,4,234,1265,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,48110,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
92,TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,37500,90,2000,3,4,234,1260,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,34472,90,1995,3,4,234,1260,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,33329,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,31850,110,1600,3,4,85,1120,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,30351,90,1995,3,4,234,1260,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
97,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,29435,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,25948,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,24500,110,1600,3,4,85,1120,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,23902,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0
101,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,23175,110,1600,3,4,85,1120,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
102,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,19200,97,1400,3,4,85,1100,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,18000,71,1400,3,4,85,1125,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,16123,110,1600,3,4,85,1105,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,14635,110,1600,3,4,100,1155,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
106,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,13748,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
107,TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,11500,110,1600,3,4,69,1045,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,10000,97,1400,3,4,85,1100,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
109,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,7187,110,1600,3,4,85,1105,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
111,TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,1,116,2000,5,4,283,1480,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,4000,116,2000,5,4,283,1480,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,1500,116,2000,5,4,283,1480,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
114,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,116,2000,5,4,234,1320,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,116,2000,5,4,234,1320,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,10000,116,2000,5,4,234,1270,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,6000,90,2000,5,4,234,1280,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0
118,TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,10841,90,2000,5,4,234,1270,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,110,1600,3,4,85,1105,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,63000,90,2000,5,4,234,1255,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,57313,110,2000,5,4,234,1275,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,110,1600,5,4,85,1115,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
123,TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,51099,90,2000,5,4,234,1255,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
124,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,110,1600,5,4,85,1115,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,39115,110,1600,5,4,85,1130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,36012,110,1600,5,4,85,1130,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,36000,110,1600,5,4,85,1130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,36000,110,1600,5,4,19,1075,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,35000,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,33740,97,1400,5,4,85,1135,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,33477,110,1600,5,4,19,1075,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,32627,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
133,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,29797,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,29441,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,29371,110,1600,4,4,19,1105,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
136,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,29000,97,1400,5,4,85,1110,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,27821,97,1400,5,4,85,1110,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,27371,97,1400,5,4,85,1135,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
139,TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,25170,110,1600,5,4,19,1105,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
